location_citizenship,year,wealth_worth_in_billions,country-code,log_wealth_worth_in_billions
Algeria,2014,3.2,12.0,1.1631508098056809
Angola,2014,3.7,24.0,1.308332819650179
Argentina,1996,6.7,32.0,1.9021075263969205
Argentina,2001,5.3,32.0,1.667706820558076
Argentina,2014,11.3,32.0,2.424802725718295
Australia,1996,1.8,36.0,0.5877866649021191
Australia,2001,6.0,36.0,1.791759469228055
Australia,2014,85.4,36.0,4.447346100794524
Austria,2014,33.8,40.0,3.520460802488973
Bahrain,1996,1.0,48.0,0.0
Belgium,2001,1.0,56.0,0.0
Belgium,2014,8.0,56.0,2.0794415416798357
Bermuda,2001,2.1,60.0,0.7419373447293773
Brazil,1996,18.4,76.0,2.91235066461494
Brazil,2001,14.1,76.0,2.6461747973841225
Brazil,2014,192.2,76.0,5.258536496536192
Canada,1996,15.8,124.0,2.760009940032921
Canada,2001,46.7,124.0,3.8437441646748516
Canada,2014,112.8,124.0,4.725616339063959
Chile,1996,8.8,152.0,2.174751721484161
Chile,2001,2.6,152.0,0.9555114450274363
Chile,2014,41.3,152.0,3.720862499966987
China,2001,1.3,156.0,0.26236426446749106
China,2014,375.8,156.0,5.929057086979365
Colombia,1996,4.2,170.0,1.4350845252893227
Colombia,2001,1.5,170.0,0.4054651081081644
Colombia,2014,30.599999999999998,170.0,3.4210000089583352
Cyprus,2014,19.7,196.0,2.9806186357439426
Czech Republic,2014,18.4,203.0,2.91235066461494
Denmark,1996,4.8,208.0,1.5686159179138452
Denmark,2001,4.1,208.0,1.410986973710262
Denmark,2014,26.9,208.0,3.292126286607793
Ecuador,1996,1.2,218.0,0.1823215567939546
Egypt,2001,1.0,818.0,0.0
Egypt,2014,22.3,246.0,3.104586678466073
Finland,2014,6.6,246.0,1.8870696490323797
France,1996,35.7,250.0,3.5751506887855933
France,2001,65.9,250.0,4.188138441508461
France,2014,235.3,250.0,5.4608612957333165
Georgia,2014,5.2,268.0,1.6486586255873816
Germany,1996,129.6,276.0,4.864452783918174
Germany,2001,140.0,276.0,4.941642422609304
Germany,2014,401.4,276.0,5.9949584363622375
Greece,1996,13.3,300.0,2.5877640352277083
Greece,2001,7.3,300.0,1.9878743481543455
Greece,2014,8.2,300.0,2.1041341542702074
Guernsey,2014,2.4,831.0,0.8754687373538999
Hong Kong,1996,73.9,344.0,4.302712827954156
Hong Kong,2001,50.6,344.0,3.92395157629342
Hong Kong,2014,213.7,344.0,5.364573162325102
India,1996,4.7,356.0,1.547562508716013
India,2001,14.200000000000001,356.0,2.653241964607215
India,2014,191.9,356.0,5.256974403013654
Indonesia,1996,29.8,360.0,3.3945083935113587
Indonesia,2001,3.0,360.0,1.0986122886681098
Indonesia,2014,47.8,360.0,3.86702563949741
Ireland,1996,1.7,372.0,0.5306282510621704
Ireland,2001,3.3,372.0,1.1939224684724346
Ireland,2014,25.5,372.0,3.2386784521643803
Israel,1996,4.0,376.0,1.3862943611198906
Israel,2001,9.9,376.0,2.2925347571405443
Israel,2014,51.8,376.0,3.9473901492654373
Italy,1996,16.2,380.0,2.785011242238338
Italy,2001,46.0,380.0,3.828641396489095
Italy,2014,158.1,380.0,5.0632277442154265
Japan,1996,90.0,392.0,4.499809670330265
Japan,2001,89.3,392.0,4.492001487882454
Japan,2014,101.0,392.0,4.61512051684126
Kazakhstan,2014,9.2,398.0,2.2192034840549946
Kuwait,1996,3.0,414.0,1.0986122886681098
Kuwait,2001,6.0,414.0,1.791759469228055
Kuwait,2014,6.5,414.0,1.8718021769015913
Lebanon,1996,4.3,422.0,1.4586150226995167
Lebanon,2001,3.1,422.0,1.1314021114911006
Lebanon,2014,12.3,422.0,2.509599262378372
Liechtenstein,1996,1.5,438.0,0.4054651081081644
Liechtenstein,2001,1.4,438.0,0.3364722366212129
Lithuania,2014,1.0,440.0,0.0
Macau,2014,2.8,446.0,1.0296194171811581
Malaysia,1996,26.0,458.0,3.258096538021482
Malaysia,2001,7.300000000000001,458.0,1.9878743481543455
Malaysia,2014,53.1,458.0,3.9721769282478934
Mexico,1996,25.6,484.0,3.242592351485517
Mexico,2001,34.1,484.0,3.529297384289471
Mexico,2014,142.9,484.0,4.9621450849358215
Monaco,2014,4.6,492.0,1.5260563034950492
Morocco,2014,7.3999999999999995,504.0,2.001480000210124
Nepal,2014,1.1,524.0,0.09531017980432493
Netherlands,1996,8.9,528.0,2.186051276738094
Netherlands,2001,5.4,528.0,1.6863989535702288
Netherlands,2014,24.2,528.0,3.186352633162641
New Zealand,2001,1.0,554.0,0.0
New Zealand,2014,9.8,554.0,2.2823823856765264
Nigeria,2014,33.3,566.0,3.505557396986398
Norway,2001,2.5999999999999996,578.0,0.9555114450274362
Norway,2014,21.8,578.0,3.0819099697950434
Oman,2014,2.3,512.0,0.8329091229351039
Peru,1996,1.0,604.0,0.0
Peru,2014,11.9,604.0,2.4765384001174837
Philippines,1996,23.8,608.0,3.169685580677429
Philippines,2001,3.7,608.0,1.308332819650179
Philippines,2014,40.1,608.0,3.6913763343125234
Poland,2014,12.8,616.0,2.5494451709255714
Portugal,2001,3.0,620.0,1.0986122886681098
Portugal,2014,10.6,620.0,2.3608540011180215
Romania,2014,1.2,642.0,0.1823215567939546
Russia,2001,12.4,643.0,2.517696472610991
Russia,2014,422.5,643.0,6.046189446797229
Saudi Arabia,1996,16.5,682.0,2.803360380906535
Saudi Arabia,2001,40.8,682.0,3.708682081410116
Saudi Arabia,2014,49.0,682.0,3.8918202981106265
Singapore,1996,12.0,702.0,2.4849066497880004
Singapore,2001,11.3,702.0,2.424802725718295
Singapore,2014,45.1,702.0,3.8088822465086327
South Africa,1996,4.1,710.0,1.410986973710262
South Africa,2001,5.8,710.0,1.7578579175523736
South Africa,2014,25.4,710.0,3.2347491740244907
South Korea,1996,23.5,410.0,3.1570004211501135
South Korea,2001,2.6,410.0,0.9555114450274363
South Korea,2014,60.7,410.0,4.1059436980654525
Spain,1996,4.1,724.0,1.410986973710262
Spain,2001,15.7,724.0,2.7536607123542622
Spain,2014,122.6,724.0,4.808927023502111
St. Kitts and Nevis,2014,1.2,659.0,0.1823215567939546
Swaziland,2014,3.7,748.0,1.308332819650179
Sweden,1996,12.1,752.0,2.4932054526026954
Sweden,2001,36.0,752.0,3.58351893845611
Sweden,2014,116.7,752.0,4.75960653929251
Switzerland,1996,38.9,756.0,3.6609942506244004
Switzerland,2001,49.5,756.0,3.901972669574645
Switzerland,2014,80.2,756.0,4.384523514872469
Taiwan,1996,24.9,158.0,3.214867803470662
Taiwan,2001,11.3,158.0,2.424802725718295
Taiwan,2014,75.8,158.0,4.328098292648326
Tanzania,2014,1.0,834.0,0.0
Thailand,1996,21.1,764.0,3.0492730404820207
Thailand,2001,2.4,764.0,0.8754687373538999
Thailand,2014,36.8,764.0,3.6054978451748854
Turkey,1996,8.9,792.0,2.186051276738094
Turkey,2001,13.3,792.0,2.5877640352277083
Turkey,2014,43.2,792.0,3.765840495250065
Uganda,2014,1.1,800.0,0.09531017980432493
Ukraine,2014,26.6,804.0,3.2809112157876537
United Arab Emirates,2001,1.9,784.0,0.6418538861723947
United Arab Emirates,2014,14.6,784.0,2.681021528714291
United Kingdom,1996,13.2,826.0,2.580216829592325
United Kingdom,2001,25.4,826.0,3.2347491740244907
United Kingdom,2014,152.0,826.0,5.0238805208462765
United States,1996,312.1,840.0,5.743323649276734
United States,2001,907.6,840.0,6.810803752905687
United States,2014,2322.4,840.0,7.7503564127104205
Venezuela,1996,2.4000000000000004,862.0,0.8754687373539001
Venezuela,2001,9.8,862.0,2.2823823856765264
Venezuela,2014,9.0,862.0,2.1972245773362196
Vietnam,2014,1.6,704.0,0.47000362924573563
